Nome,País,Cidade,Ranking_Internacional,Linguas_Competencia,Taxas_Extras,Cursos_em_Ingles,Auxilio_Monetario,Auxilio_Moradia,Data_Inspecao,Link_Universidade
Universidad Mayor de San Andrés,Bolivia,La Paz,1201,,,Não,Parcial/Condicional,Parcial/Condicional,23/02/2025,https://www.umsa.bo/
Universidad de Playa Ancha,Chile,Valparaiso,,,,Não,Parcial/Condicional,Parcial/Condicional,23/02/2025,https://www.upla.cl/portada/
Universidad de Santiago do Chile,Chile,Santiago,,,,Não,Parcial/Condicional,Parcial/Condicional,23/02/2025,https://www.usach.cl/
Universidad de Valparaíso,Chile,Valparaíso,1201,,,Não,Parcial/Condicional,Parcial/Condicional,23/02/2025,https://2025.uv.cl/
Universidad Nacional de Asunción,Paraguay,Asunción,1001,,,Não,Parcial/Condicional,Parcial/Condicional,23/02/2025,https://www.una.py/internacional
"Universidad de Artes, Ciencias y Comunicación",Chile,Providencia,,Espanhol B1,,Não,Não,Não,24/02/2025,https://www.uniacc.cl/estudiantes/direccion-de-asuntos-estudiantiles/#relaciones-internacionales
Universidad Tecnológica de Pereira,Colombia,Pereira,1401,Espanhol B1,,Não,Não,Não,24/02/2025,https://ori.utp.edu.co/incoming-entrante/
Universidad Autónoma del Estado de Hidalgo,Mexico,Hidalgo,1201,,,Não,Não,Parcial/Condicional,24/02/2025,https://uaeh.edu.mx/dri/nafsa.html
Universidad Católica de Santa María,Peru,Arequipa,,,,Não,Parcial/Condicional,Parcial/Condicional,24/02/2025,https://internacional.ucsm.edu.pe/internacional/pregrado/estudiantes-externos/
Universidad de la República,Uruguay,Montevideo,661,,,Não,Não,Não,24/02/2025,https://udelar.edu.uy/internacionales/wp-content/uploads/sites/60/2022/01/UDELAR-Procedimiento-Movilidad-por-Convenio.pdf
Universidad Militar Nueva Granada,Colombia,Bogotá,,,,Não,Parcial/Condicional,Não,24/02/2025,https://www.umng.edu.co/inicio
